Record_ID,Region,Hour,DayOfWeek,Temperature_C,Humidity_pct,Rainfall_mm,PopulationIndex,IndustrialIndex,SolarGenerationIndex,GridLoad_MW
130,Western,13,2,32.1,60,1.1,70,52,0.34,578.3
131,Western,4,5,33.7,39,4.8,56,67,0.27,603.4
132,Western,17,0,28.0,70,0.0,72,74,0.51,652.8
133,Eastern,23,0,34.5,73,2.1,59,81,0.02,670.8
134,Eastern,3,2,32.4,58,6.0,77,91,0.24,758.3
135,Northern,19,4,29.5,70,14.3,51,43,0.11,490.9
136,Western,9,2,24.0,46,7.4,54,38,0.56,461.6
137,Eastern,0,0,30.7,48,0.0,73,59,0.0,633.4
138,Central,18,4,19.4,38,7.7,93,30,0.14,620.1
139,Central,21,3,26.3,63,0.0,72,75,0.03,745.8
140,Western,21,5,28.1,68,2.2,88,27,0.0,560.6
141,Central,9,1,31.0,83,2.8,81,75,0.13,752.8
142,Northern,12,4,30.0,67,0.0,54,70,0.86,573.0
143,Western,1,3,18.3,93,6.8,86,71,0.06,658.6
144,Western,13,2,20.0,36,6.0,94,66,0.08,685.4
145,Northern,3,1,25.4,60,0.0,97,63,0.06,682.7
146,Northern,5,0,26.7,42,0.0,72,38,0.1,517.1
147,Central,4,2,21.4,73,7.8,61,83,0.15,685.7
148,Northern,18,6,27.9,78,8.7,90,60,0.08,670.6
149,Northern,2,3,25.5,54,4.9,82,29,0.05,488.0
150,Central,14,0,19.0,88,1.3,89,84,0.32,770.2
151,Eastern,18,4,34.2,82,7.3,70,80,0.25,715.6
152,Central,1,3,19.8,92,10.4,82,42,0.0,541.8
153,Northern,22,3,34.8,68,0.1,68,69,0.07,635.5
154,Northern,10,5,28.2,85,0.0,56,91,0.57,655.6
155,Eastern,9,2,30.3,77,9.6,71,30,0.44,489.4
156,Central,4,2,23.3,76,1.4,69,91,0.13,735.6
157,Central,10,6,20.2,79,6.9,91,74,0.42,709.6
158,Western,0,2,23.3,95,5.7,62,48,0.0,522.0
159,Central,4,0,23.0,85,9.9,92,63,0.29,689.0
160,Eastern,19,1,28.2,44,7.9,96,76,0.02,801.5
161,Western,11,5,30.2,63,0.0,64,88,0.22,692.3
162,Western,15,6,21.3,78,16.6,99,56,0.58,616.3
163,Eastern,16,4,25.1,45,6.7,66,26,0.43,434.6
164,Northern,11,4,33.9,80,8.5,55,40,0.25,446.4
165,Western,16,1,32.1,40,6.3,72,23,0.28,465.7
166,Central,12,4,24.4,59,7.8,70,32,0.84,498.6
167,Western,20,2,31.5,43,13.8,94,37,0.25,620.6
168,Eastern,15,3,28.5,92,6.4,85,87,0.32,741.7
169,Western,9,1,23.1,38,3.5,54,34,0.63,470.7
170,Eastern,15,4,27.1,75,0.0,68,74,0.0,653.6
171,Northern,11,1,27.7,46,1.9,54,87,0.5,648.7
172,Northern,16,4,18.3,90,0.0,66,22,0.24,400.1
173,Northern,2,2,22.1,77,0.0,58,25,0.06,391.6
174,Western,10,6,28.9,88,,90,43,0.68,564.6
175,Eastern,2,5,31.2,64,6.3,52,60,0.16,552.2
176,Eastern,16,3,34.8,69,1.7,68,65,0.57,625.3
177,Western,1,6,29.1,52,6.4,97,76,0.07,752.2
178,Northern,12,2,34.6,66,1.3,55,74,0.08,608.5
179,Northern,19,6,21.1,53,2.1,69,77,0.25,687.0
180,Northern,13,1,29.7,57,0.0,89,75,0.25,719.1
181,Eastern,1,0,29.4,60,0.0,51,38,0.07,479.6
182,Northern,21,6,25.4,43,10.9,73,69,0.24,669.3
183,Central,1,4,20.6,63,7.6,86,37,0.04,567.6
184,Eastern,12,2,29.0,50,4.1,81,86,0.39,742.5
185,Northern,17,0,22.5,51,2.0,94,82,0.12,739.5
186,Central,4,6,19.3,46,7.4,93,60,0.22,679.6
187,Eastern,22,0,27.3,53,10.6,100,66,0.08,700.4
188,Northern,3,1,31.5,50,3.3,79,90,0.03,747.8
189,Western,2,0,23.3,80,1.8,86,29,0.02,501.0
190,Eastern,10,5,19.3,64,1.0,99,36,0.36,570.4
191,Eastern,1,6,20.1,44,2.0,72,86,0.07,713.0
192,Central,2,2,21.3,70,1.9,82,41,0.1,591.3
193,Central,18,1,20.9,74,1.7,51,30,0.02,471.6
194,Central,20,6,27.8,76,4.6,81,89,0.1,825.9
195,Central,9,3,22.2,86,1.3,94,27,0.12,570.1
196,Northern,13,3,25.9,56,0.0,96,64,0.89,670.7
197,Central,4,6,24.3,70,5.9,67,77,0.08,683.2
198,Eastern,3,0,22.9,59,6.4,70,93,0.18,715.6
199,Western,6,6,20.7,67,0.0,51,31,0.47,413.0
200,Northern,16,3,34.4,48,1.6,81,80,0.19,721.1
201,Western,0,6,19.8,43,9.0,73,25,0.0,444.2
202,Western,18,4,21.3,70,1.8,98,90,0.14,836.5
203,Northern,19,5,28.4,43,7.9,85,66,0.31,695.9
204,Northern,6,4,26.7,67,4.4,80,86,0.23,716.1
205,Northern,19,4,20.4,94,0.7,87,63,0.21,663.9
206,Northern,16,4,26.3,71,0.2,71,34,0.65,492.1
207,Western,18,2,31.5,81,7.9,66,94,0.29,745.3
208,Western,23,0,27.9,45,0.0,59,51,0.0,541.9
209,Eastern,22,0,21.2,63,1.9,76,84,0.13,710.6
210,Eastern,15,6,32.4,81,5.5,85,61,0.75,643.6
211,Northern,15,4,24.4,46,0.0,93,53,0.46,632.0
212,Northern,6,1,22.7,54,5.1,99,56,0.35,668.1
213,Northern,22,5,26.3,65,0.0,68,35,0.1,499.3
214,Eastern,17,3,33.2,60,8.2,68,25,0.17,443.5
215,Eastern,22,0,23.9,63,0.0,62,88,0.05,678.8
216,Eastern,17,5,22.6,41,0.0,53,87,0.13,656.8
217,Eastern,7,0,19.7,56,2.5,50,90,0.57,661.1
218,Eastern,5,3,29.1,91,7.1,98,56,0.13,650.9
219,Central,20,0,33.4,40,0.9,61,73,0.29,715.3
220,Northern,5,0,35.0,60,3.8,52,21,0.12,388.5
221,Western,19,0,33.8,56,0.0,58,84,0.2,740.7
222,Eastern,6,6,19.9,45,2.1,50,63,0.4,533.2
223,Western,18,5,30.9,46,0.0,77,85,0.16,769.7
224,Central,12,5,19.6,43,0.0,66,69,0.24,655.0
225,Northern,8,2,23.1,81,0.0,94,50,0.04,627.4
226,Northern,3,3,23.2,60,0.0,94,35,0.16,540.3
227,Western,9,2,28.4,49,8.5,97,67,0.31,721.4
228,Eastern,17,3,30.9,86,1.2,93,30,0.31,545.1
229,Eastern,16,5,24.2,93,1.4,86,88,0.1,746.5
230,Western,10,6,26.8,42,0.0,55,85,0.37,649.7
231,Western,1,3,20.2,61,1.3,93,59,0.06,653.9
232,Western,12,2,31.9,82,3.4,72,28,0.54,473.9
233,Eastern,1,0,34.8,65,8.0,99,73,0.03,751.8
234,Eastern,12,3,32.8,93,1.5,91,64,0.12,685.6
235,Central,17,3,27.0,81,12.4,69,79,0.39,678.1
236,Eastern,17,3,27.0,87,3.7,67,44,0.55,521.2
237,Central,23,6,19.9,86,0.0,65,46,0.01,534.9
238,Central,19,0,25.6,78,2.5,75,76,0.1,741.3
239,Eastern,6,6,32.7,38,13.1,96,93,0.16,837.7
240,Eastern,19,6,29.4,55,3.8,76,58,0.11,675.7
241,Western,17,4,33.0,93,6.4,53,64,0.55,561.7
242,Northern,21,3,31.4,55,1.3,74,43,0.19,577.3
243,Western,15,1,32.4,54,4.7,53,91,0.31,676.0
244,Central,13,4,27.0,59,3.2,78,67,0.08,691.8
245,Central,23,6,21.2,52,0.0,54,44,0.07,526.2
246,Northern,18,5,29.4,48,0.0,69,21,0.11,486.0
247,Eastern,6,5,20.0,83,0.0,75,50,0.28,558.4
248,Western,9,3,25.9,76,0.5,79,32,0.6,526.5
249,Western,23,3,30.9,55,7.1,52,92,0.07,673.2
250,Western,23,1,18.3,70,9.0,68,39,0.02,475.6
251,Northern,7,3,27.7,50,0.0,66,82,0.56,688.1
252,Eastern,20,5,26.3,45,2.5,96,89,0.16,835.0
253,Central,17,5,34.3,68,12.5,98,20,0.24,556.3
254,Northern,20,1,19.2,44,8.9,53,81,0.22,642.7
255,Northern,0,0,27.0,61,9.1,84,56,0.0,607.7
256,Central,22,5,25.3,95,5.0,83,39,0.04,567.5
257,Northern,19,4,22.3,57,2.5,75,78,0.24,714.4
258,Central,22,1,23.1,87,7.2,55,71,0.06,599.2
259,Western,17,3,19.0,35,2.4,91,62,0.33,658.3
260,Western,3,4,33.6,49,5.4,67,25,0.23,477.7
261,Northern,21,2,33.3,71,1.3,51,46,0.15,521.8
262,Western,22,6,24.8,39,1.0,93,89,0.06,801.4
263,Northern,23,1,31.4,79,2.0,53,32,0.04,420.3
264,Northern,2,2,28.3,74,7.8,51,54,0.13,495.1
265,Western,14,3,21.9,70,8.0,55,57,0.67,508.7
266,Eastern,22,0,19.4,44,0.0,97,69,0.05,727.0
267,Central,3,0,18.1,54,0.0,58,31,0.05,476.5
268,Central,14,4,27.4,61,4.7,88,61,0.72,682.6
269,Eastern,0,2,25.0,84,12.3,86,86,0.0,738.7
270,Eastern,12,1,20.4,54,2.7,77,55,0.42,594.3
271,Western,15,6,19.3,51,10.5,88,45,0.34,562.0
272,Northern,4,2,18.1,60,0.0,78,62,0.14,616.8
273,Western,20,4,20.3,55,0.0,70,42,0.32,549.4
274,Eastern,10,2,30.5,75,0.0,70,68,0.23,640.1
275,Eastern,12,2,19.9,71,8.3,93,90,0.03,793.6
276,Central,23,3,34.0,48,0.0,100,72,0.06,798.4
277,Western,4,5,23.1,51,0.0,54,77,0.33,605.2
278,Western,15,4,24.8,67,11.9,84,24,0.59,461.6
279,Central,11,5,33.2,69,0.0,99,51,0.6,680.9
280,Western,11,1,29.0,37,0.0,98,62,0.89,692.4
281,Eastern,13,0,18.2,51,4.5,78,67,0.36,648.9
282,Central,21,4,29.7,44,2.4,68,73,0.23,732.2
283,Western,2,0,32.1,81,5.7,100,46,0.09,636.3
284,Northern,11,3,19.7,81,1.6,52,34,0.02,404.7
285,Eastern,10,5,19.9,86,10.4,83,42,0.46,549.6
286,Eastern,10,4,25.2,64,3.6,61,75,0.33,635.5
287,Eastern,23,4,33.0,63,0.0,63,55,0.06,574.6
288,Eastern,2,4,19.7,90,0.0,79,34,0.04,504.0
289,Central,15,4,34.4,55,0.0,72,65,0.63,667.1
290,Central,19,1,31.8,80,6.5,93,37,0.13,629.9
291,Western,7,2,20.0,58,0.9,88,37,0.34,558.4
292,Eastern,13,1,26.3,69,0.5,85,41,0.45,555.7
293,Central,4,1,23.3,63,0.0,81,37,0.07,560.4
294,Western,12,4,26.6,66,0.0,81,41,0.08,562.6
295,Northern,0,6,30.9,53,6.5,60,78,0.0,639.0
296,Northern,15,4,26.7,71,9.5,84,25,0.57,478.3
297,Eastern,14,4,21.7,62,10.5,69,24,0.37,439.3
298,Eastern,11,6,31.9,63,4.7,63,95,0.63,718.1
299,Eastern,22,4,28.8,45,0.0,53,92,0.06,686.4
300,Northern,8,4,27.2,55,7.1,82,32,0.09,528.5
301,Eastern,13,0,34.9,90,0.0,65,38,0.65,490.7
302,Northern,7,6,32.3,60,0.0,90,73,0.22,735.0
303,Northern,2,5,31.5,84,8.0,94,67,0.08,686.5
304,Western,15,2,27.9,90,4.2,90,65,0.64,646.1
305,Northern,17,3,21.7,62,5.6,68,63,0.32,568.1
306,Central,4,4,32.5,85,0.0,52,32,0.21,481.9
307,Western,14,0,20.1,89,6.0,62,36,0.74,446.9
308,Northern,9,1,32.9,91,1.9,55,67,0.5,598.6
309,Eastern,20,1,18.9,75,0.4,77,31,0.23,540.4
310,Western,0,1,26.1,43,0.0,50,21,0.0,388.6
311,Central,3,6,25.2,43,0.0,96,33,0.03,613.6
312,Eastern,11,2,20.3,84,6.9,54,87,0.52,613.8
313,Eastern,19,5,20.8,57,1.8,76,76,0.36,701.6
314,Western,2,0,20.4,42,0.0,70,37,0.04,502.2
315,Central,20,0,22.2,73,0.0,92,58,0.07,715.7
316,Eastern,19,4,21.2,60,2.5,81,69,0.05,705.5
317,Northern,15,5,28.1,68,3.6,70,36,0.29,487.4
318,Central,18,3,24.2,78,5.6,51,95,0.03,749.3
319,Northern,8,1,18.7,38,7.8,90,84,0.51,741.3
320,Northern,13,5,24.8,75,0.0,55,59,0.07,532.0
321,Central,6,6,20.6,55,0.0,69,75,0.36,688.0
322,Central,7,0,22.2,94,0.0,69,42,0.07,564.3
323,Northern,22,1,29.9,45,0.0,60,67,0.02,604.7
324,Western,8,5,33.1,84,6.7,67,87,0.04,711.7
325,Western,22,4,28.7,66,0.0,86,41,0.06,579.2
326,Central,8,6,19.7,71,1.9,52,21,0.16,422.2
327,Central,15,2,24.5,44,8.5,85,73,0.17,741.4
328,Northern,7,3,33.6,55,2.7,57,84,0.39,680.5
329,Central,1,1,21.8,68,15.3,79,56,0.06,611.2
330,Northern,9,2,19.5,64,6.3,97,51,0.35,629.0
331,Eastern,18,3,35.0,84,6.6,59,20,0.47,462.6
332,Northern,0,1,27.2,75,8.5,50,68,0.0,534.8
333,Central,23,2,19.8,68,8.2,59,55,0.01,556.1
334,Central,7,6,26.8,79,7.4,87,32,0.29,570.1
335,Eastern,20,6,24.7,72,0.0,65,57,0.09,608.7
336,Northern,10,6,24.7,88,2.6,64,29,0.79,414.5
337,Western,4,6,31.1,41,4.7,70,72,0.04,665.1
338,Central,11,6,21.5,54,0.0,60,58,0.76,585.6
339,Eastern,22,4,18.7,88,4.8,72,70,0.09,616.1
340,Western,21,2,22.4,46,8.0,85,90,0.06,795.1
341,Eastern,14,0,31.7,43,4.3,58,45,0.69,515.4
342,Central,11,5,28.7,76,8.7,51,28,0.18,441.6
343,Northern,20,3,31.8,40,10.8,57,25,0.31,444.3
344,Central,1,1,33.7,62,5.2,74,74,0.01,705.4
345,Eastern,6,1,22.7,63,4.0,91,57,0.25,640.0
346,Eastern,17,3,19.0,52,0.0,90,89,0.46,771.9
347,Northern,12,6,30.1,65,,74,54,0.18,582.0
348,Western,10,4,21.7,92,4.5,83,65,0.64,618.2
349,Central,7,1,19.7,77,3.3,98,48,0.34,674.4
350,Northern,12,2,33.9,89,4.7,97,65,0.91,682.7
351,Eastern,0,5,29.9,95,0.5,81,89,0.0,748.2
352,Western,15,0,19.5,49,2.2,50,62,0.69,527.8
353,Northern,6,6,20.2,80,7.0,53,22,0.07,371.8
354,Central,22,1,31.2,89,0.0,73,70,0.1,683.0
355,Western,10,2,23.5,45,2.4,91,60,0.15,652.6
356,Eastern,17,5,33.1,74,3.8,74,59,0.43,606.9
357,Western,9,1,21.0,35,14.6,99,92,0.02,809.6
358,Western,19,2,33.7,74,4.2,59,62,0.31,627.0
359,Northern,7,2,34.7,45,0.0,78,21,0.15,486.6
360,Central,7,5,19.2,51,4.8,74,76,0.43,697.9
361,Western,5,3,26.4,59,0.1,100,93,0.27,828.2
362,Central,21,1,20.8,39,3.4,70,53,0.24,637.3
363,Central,2,2,20.9,59,4.0,71,81,0.12,710.1
364,Northern,13,5,20.8,91,1.5,63,44,0.38,478.3
365,Eastern,17,5,33.7,69,2.6,56,26,0.23,440.9
366,Northern,17,6,26.3,38,0.0,92,81,0.12,757.1
367,Central,0,1,20.9,53,8.6,69,70,0.0,653.4
368,Western,21,2,19.5,69,0.0,73,43,0.11,570.8
369,Eastern,8,3,25.9,49,6.4,98,32,0.06,584.9
370,Western,11,6,27.2,83,0.0,83,73,0.89,668.4
371,Central,21,6,33.9,71,7.2,75,24,0.13,541.5
372,Western,16,6,27.7,74,10.3,61,41,0.65,488.2
373,Eastern,6,1,18.7,40,8.3,88,53,0.16,611.9
374,Northern,23,6,19.1,59,0.0,83,78,0.08,685.9
375,Western,0,6,29.9,72,0.0,59,38,0.0,483.8
376,Central,18,6,34.4,41,8.7,100,56,0.43,752.2
377,Central,11,3,22.5,76,0.0,61,55,0.37,573.0
378,Northern,19,4,29.6,60,13.2,94,50,0.02,656.2
379,Northern,15,2,33.2,36,0.0,67,82,0.64,698.5
380,Western,21,0,34.5,49,12.0,99,61,0.07,752.5
381,Western,13,4,29.0,47,0.0,97,82,0.7,779.0
382,Western,11,6,19.0,85,5.3,58,87,0.81,636.7
383,Central,0,1,21.3,88,3.5,79,26,0.0,505.8
384,Central,22,1,22.7,87,0.0,93,23,0.04,542.8
385,Northern,15,4,25.6,90,0.0,60,53,0.56,515.4
386,Eastern,22,0,22.8,59,12.3,64,48,0.11,520.7
387,Central,8,5,25.0,36,11.6,80,36,0.43,560.0
388,Northern,19,6,18.1,51,0.0,77,68,0.35,656.5
389,Western,14,2,21.7,54,0.0,87,33,0.01,526.3
390,Northern,21,6,32.3,70,0.0,93,33,0.12,592.0
391,Northern,10,2,28.9,90,1.8,62,39,0.43,481.2
392,Northern,7,0,31.7,86,4.9,93,37,0.42,569.8
393,Central,20,3,35.0,51,7.2,87,93,0.27,863.3
394,Northern,10,5,30.1,78,0.0,82,58,0.7,608.5
395,Eastern,21,4,21.1,41,0.0,93,62,0.16,722.8
396,Northern,7,2,21.8,90,0.0,73,53,0.34,581.7
397,Central,14,6,20.0,38,7.4,80,44,0.42,575.5
398,Eastern,21,3,27.0,61,12.3,62,63,0.1,622.9
399,Western,18,3,20.4,90,1.1,71,42,0.16,533.2
400,Eastern,1,0,25.7,48,3.2,81,31,0.01,519.4
401,Central,13,5,25.3,62,7.8,84,45,0.67,594.3
402,Eastern,0,2,30.9,68,5.7,64,64,0.0,615.2
403,Northern,3,3,26.6,54,7.6,68,78,0.18,661.4
404,Western,19,4,23.7,91,2.0,72,44,0.07,560.0
405,Central,12,0,21.9,81,6.4,87,84,0.17,755.7
406,Central,11,5,29.1,37,0.0,88,26,0.61,570.3
407,Central,20,6,18.3,79,7.0,85,52,0.16,660.9
408,Central,4,1,29.8,75,8.2,92,86,0.09,796.4
409,Central,19,5,20.3,88,7.8,68,34,0.33,523.1
410,Eastern,15,1,28.4,84,2.5,72,72,0.22,659.9
411,Eastern,1,4,26.4,48,0.8,50,21,0.06,387.0
412,Central,3,6,27.8,66,4.3,96,32,0.23,598.1
413,Eastern,20,1,25.8,53,2.9,52,57,0.12,580.8
414,Central,21,2,25.2,42,10.0,50,37,0.17,521.6
415,Central,5,2,24.1,63,6.8,73,63,0.08,640.8
416,Western,12,3,34.4,52,6.9,76,41,0.11,542.5
417,Western,22,5,19.0,95,4.3,86,76,0.03,677.0
418,Eastern,12,6,24.1,36,9.7,80,82,0.11,703.1
419,Eastern,13,3,18.8,51,2.6,92,63,0.48,663.1
420,Northern,22,5,28.5,62,1.0,92,69,0.02,692.3
421,Western,17,4,18.9,76,8.4,81,41,0.04,522.4
422,Western,15,2,22.1,52,6.4,75,50,0.06,564.7
423,Central,14,6,27.7,40,6.4,81,22,0.09,512.6
424,Northern,13,0,27.5,35,7.1,82,91,0.19,739.9
425,Western,21,3,34.2,58,7.2,71,91,0.19,760.4
426,Eastern,19,3,30.2,58,2.5,50,63,0.15,599.4
427,Eastern,20,6,23.0,68,1.3,81,37,0.27,576.5
428,Western,23,5,25.0,51,0.5,63,78,0.07,650.5
429,Central,6,5,23.7,83,0.0,99,77,0.23,785.1
430,Western,18,4,20.3,66,11.2,87,81,0.46,740.9
431,Northern,5,5,27.8,81,3.9,82,69,0.17,648.4
432,Northern,19,5,31.0,52,0.0,78,37,0.06,581.7
433,Northern,19,5,33.1,67,0.6,95,90,0.26,846.5
434,Eastern,6,1,28.6,53,0.0,95,42,0.25,598.6
435,Western,22,5,23.5,42,3.4,93,88,,770.1
